😀  grinning (grinning face)
👎  thumbs down (thumbs down sign)
👏  clapping (clapping hands sign)
👐  open hands (open hands sign)
👑  crown
👒  womans hat
👓  eyeglasses
👔  necktie
👕  t-shirt
👖  jeans
👗  dress
👘  kimono
👙  bikini
👚  womans clothes
👛  purse
👜  handbag
👝  pouch
👞  mans shoe
👟  athletic shoe
👠  high-heeled shoe
👡  womans sandal
👢  womans boots
👣  footprints
👤  bust in silhouette
👥  busts in silhouette
👦  boy (boy)
👧  girl (girl)
👨  man (man)
👩  woman (woman)
👪  family
👫  man and woman holding hands
👬  two men holding hands
👭  two women holding hands
👮  police (police officer)
👯  woman with bunny ears
👰  bride with veil
👱  person with blond hair
👲  man with gua pi mao
👳  man with turban
👴  old man (older man)
👵  old woman (older woman)
👶  baby (baby)
👷  construction worker (construction worker)
👸  princess (princess)
👹  japanese ogre
👺  japanese goblin
👻  ghost
👼  angel (baby angel)
👽  extraterrestrial alien
👾  alien monster
💀  skull (skull)
💁  information desk person
💂  guardsman (guardsman)
💃  dancer (dancer)
💄  lipstick
💅  nail polish
💆  massage (face massage)
💇  haircut (haircut)
💈  barber pole
💉  syringe
💊  pill
💋  kiss mark
💌  love letter
💍  ring
💎  gem (gem stone)
💏  kiss
💐  bouquet
💑  couple with heart
💒  wedding
💓  beating heart
💔  broken heart (broken heart)
💕  love (two hearts)
💖  sparkling heart (sparkling heart)
💗  growing heart (growing heart)
💘  heart with arrow (heart with arrow)
💙  love (blue heart)
💚  love (green heart)
💛  love (yellow heart)
💜  love (purple heart)
💝  heart with ribbon (heart with ribbon)
💞  revolving hearts (revolving hearts)
💟  love (heart decoration)
💠  diamond shape with a dot inside
💡  lightbulb (electric light bulb)
💢  anger (anger symbol)
💣  bomb
💤  zzz (sleeping symbol)
💥  explosion (collision symbol)
💦  sweat drops (splashing sweat symbol)
💧  droplet (droplet)
💨  dash (dash symbol)
💩  poop (pile of poo)
💪  muscle (flexed biceps)
💫  shooting star (dizzy symbol)
💬  speech bubble (speech balloon)
💭  thought bubble (thought balloon)
💮  white flower
💯  100 (hundred points symbol)
💰  money bag (money bag)
💱  currency exchange
💲  heavy dollar sign
💳  credit card
💴  banknote with yen sign
💵  dollar (banknote with dollar sign)
💶  banknote with euro sign
💷  banknote with pound sign
💸  money with wings
💹  chart with upwards trend and yen sign
💺  seat
💻  laptop (personal computer)
💼  briefcase
💽  minidisc
💾  floppy disk
💿  optical disc
📀  dvd
📁  file folder
📂  open file folder
📃  page with curl
📄  page facing up
📅  calendar (calendar)
📆  tear-off calendar
📇  card index
📈  chart with upwards trend
📉  chart with downwards trend
📊  bar chart
📋  clipboard
📌  pushpin (pushpin)
📍  round pushpin (round pushpin)
📎  paperclip
📏  straight ruler
📐  triangular ruler
📑  bookmark tabs
📒  ledger
📓  notebook
📔  notebook with decorative cover
📕  closed book
📖  open book (open book)
📗  green book
📘  blue book
📙  orange book
📚  books (books)
📛  name badge
📜  scroll
📝  memo (memo)
📞  telephone receiver
📟  pager
📠  fax machine
📡  satellite antenna
📢  megaphone (public address loudspeaker)
📣  cheering megaphone
📤  outbox tray
📥  inbox tray
📦  package
📧  e-mail symbol
📨  incoming envelope
📩  envelope with downwards arrow above
📪  closed mailbox with lowered flag
📫  closed mailbox with raised flag
📬  open mailbox with raised flag
📭  open mailbox with lowered flag
📮  postbox
📯  postal horn
📰  newspaper
📱  phone (mobile phone)
📲  mobile phone with rightwards arrow at left
📳  vibration mode
📴  mobile phone off
📵  no mobile phones
📶  antenna with bars
📷  camera (camera)
📸  camera flash (camera with flash)
📹  video camera
📺  television
📻  radio
📼  videocassette
📽  film projector
📾  portable stereo
📿  prayer beads
🔀  twisted rightwards arrows
🔁  clockwise rightwards and leftwards open circle arrows
🔂  clockwise rightwards and leftwards open circle arrows with circled one overlay
🔃  clockwise downwards and upwards open circle arrows
🔄  anticlockwise downwards and upwards open circle arrows
🔅  low brightness symbol
🔆  high brightness symbol
🔇  muted (speaker with cancellation stroke)
🔈  speaker
